iter	Passed	Remaining
0	59	59541
1	59	29846
2	60	19944
3	60	14993
4	60	12022
5	60	10041
6	60	8626
7	61	7580
8	61	6752
9	61	6090
10	61	5549
11	61	5098
12	62	4716
13	62	4389
14	62	4105
15	62	3856
16	62	3637
17	63	3442
18	63	3268
19	63	3111
20	63	2969
21	63	2840
22	64	2722
23	64	2614
24	64	2515
25	64	2423
26	65	2347
27	65	2272
28	65	2202
29	66	2136
30	66	2074
31	66	2017
32	66	1962
33	67	1911
34	67	1863
35	67	1818
36	68	1775
37	68	1734
38	68	1695
39	69	1658
40	69	1623
41	69	1590
42	70	1558
43	70	1527
44	70	1498
45	70	1470
46	71	1444
47	71	1418
48	71	1394
49	72	1371
50	72	1348
51	72	1324
52	72	1301
53	73	1280
54	73	1258
55	73	1238
56	73	1218
57	73	1199
58	74	1181
59	74	1163
60	74	1145
61	74	1129
62	74	1113
63	75	1097
64	75	1082
65	75	1067
66	75	1053
67	75	1037
68	75	1023
69	76	1010
70	76	997
71	76	985
72	76	973
73	76	961
74	77	951
75	77	941
76	77	931
77	78	922
78	78	913
79	78	904
80	78	895
81	79	887
82	79	878
83	79	870
84	79	860
85	80	853
86	80	844
87	80	836
88	81	829
89	81	822
90	81	815
91	81	808
92	82	801
93	82	795
94	82	789
95	83	782
96	83	776
97	83	770
98	84	764
99	84	759
100	84	753
101	84	746
102	85	740
103	85	735
104	85	730
105	85	724
106	86	719
107	86	714
108	86	709
109	87	704
110	87	700
111	87	695
112	88	690
113	88	686
114	88	681
115	88	676
116	89	672
117	89	668
118	89	663
119	89	659
120	90	654
121	90	649
122	90	644
123	90	639
124	90	635
125	90	630
126	91	626
127	91	621
128	91	617
129	91	613
130	91	609
131	92	604
132	92	600
133	92	596
134	92	593
135	92	589
136	92	585
137	93	581
138	93	577
139	93	574
140	93	570
141	93	566
142	94	563
143	94	559
144	94	556
145	94	553
146	94	550
147	95	548
148	95	545
149	95	542
150	95	539
151	96	536
152	96	533
153	96	530
154	96	526
155	96	523
156	97	520
157	97	517
158	97	515
159	97	512
160	97	509
161	97	506
162	98	503
163	98	501
164	98	498
165	98	495
166	98	493
167	99	490
168	99	487
169	99	485
170	99	482
171	99	480
172	99	477
173	100	475
174	100	472
175	100	470
176	100	468
177	100	465
178	101	463
179	101	460
180	101	458
181	101	456
182	101	453
183	101	451
184	102	449
185	102	447
186	102	445
187	102	442
188	102	440
189	102	438
190	103	436
191	103	434
192	103	432
193	103	430
194	103	428
195	104	426
196	104	424
197	104	422
198	104	420
199	104	419
200	104	417
201	105	415
202	105	413
203	105	411
204	105	409
205	105	408
206	106	406
207	106	404
208	106	402
209	106	401
210	106	399
211	106	397
212	107	395
213	107	394
214	107	392
215	107	390
216	107	389
217	108	387
218	108	385
219	108	384
220	108	382
221	108	381
222	108	379
223	109	378
224	109	376
225	109	375
226	109	373
227	109	371
228	110	370
229	110	368
230	110	367
231	110	365
232	110	364
233	110	363
234	111	361
235	111	360
236	111	358
237	111	357
238	111	355
239	111	354
240	112	353
241	112	351
242	112	350
243	112	349
244	112	347
245	113	346
246	113	345
247	113	344
248	113	342
249	113	341
250	113	340
251	114	338
252	114	337
253	114	336
254	114	335
255	114	333
256	115	332
257	115	331
258	115	330
259	115	328
260	115	327
261	115	326
262	116	325
263	116	324
264	116	323
265	116	321
266	116	320
267	117	319
268	117	318
269	117	317
270	117	316
271	117	315
272	117	314
273	118	312
274	118	311
275	118	310
276	118	309
277	118	308
278	119	307
279	119	306
280	119	305
281	119	304
282	119	303
283	119	302
284	120	301
285	120	300
286	120	299
287	120	298
288	120	297
289	121	296
290	121	295
291	121	294
292	121	293
293	121	292
294	121	291
295	122	290
296	122	289
297	122	288
298	122	287
299	122	286
300	123	285
301	123	284
302	123	283
303	123	282
304	123	281
305	123	281
306	124	280
307	124	279
308	124	278
309	124	277
310	124	276
311	124	275
312	125	274
313	125	273
314	125	272
315	125	272
316	125	271
317	126	270
318	126	269
319	126	268
320	126	267
321	126	266
322	126	266
323	127	265
324	127	264
325	127	263
326	127	262
327	127	261
328	128	261
329	128	260
330	128	259
331	128	258
332	128	257
333	128	257
334	129	256
335	129	255
336	129	254
337	129	254
338	129	253
339	130	252
340	130	251
341	130	251
342	130	250
343	130	249
344	131	248
345	131	248
346	131	247
347	131	246
348	131	246
349	132	245
350	132	244
351	132	243
352	132	243
353	132	242
354	132	241
355	133	240
356	133	240
357	133	239
358	133	238
359	133	238
360	134	237
361	134	236
362	134	235
363	134	235
364	134	234
365	134	233
366	135	233
367	135	232
368	135	231
369	135	231
370	135	230
371	136	229
372	136	229
373	136	228
374	136	227
375	136	227
376	136	226
377	137	225
378	137	225
379	137	224
380	137	223
381	137	223
382	138	222
383	138	221
384	138	221
385	138	220
386	138	219
387	138	219
388	139	218
