iter	Passed	Remaining
0	56	56303
1	56	28245
2	56	18887
3	57	14208
4	57	11398
5	57	9524
6	57	8187
7	57	7181
8	58	6403
9	58	5782
10	58	5276
11	58	4852
12	59	4491
13	59	4180
14	59	3911
15	59	3677
16	60	3469
17	60	3285
18	60	3120
19	60	2972
20	60	2837
21	61	2714
22	61	2602
23	61	2500
24	61	2406
25	61	2319
26	62	2238
27	62	2163
28	62	2094
29	62	2030
30	63	1969
31	63	1912
32	63	1858
33	63	1808
34	63	1760
35	64	1715
36	64	1672
37	64	1632
38	64	1594
39	64	1558
40	65	1539
41	66	1506
42	66	1475
43	66	1446
44	66	1417
45	67	1389
46	67	1363
47	67	1337
48	67	1312
49	67	1288
50	68	1266
51	68	1244
52	68	1223
53	68	1204
54	68	1184
55	69	1165
56	69	1147
57	69	1129
58	69	1112
59	69	1095
60	70	1079
61	70	1064
62	70	1049
63	70	1035
64	70	1021
65	71	1007
66	71	994
67	71	981
68	71	968
69	71	956
70	72	944
71	72	933
72	72	921
73	72	910
74	73	900
75	73	890
76	73	880
77	73	870
78	73	860
79	74	851
80	74	842
81	74	833
82	74	823
83	74	815
84	75	807
85	75	799
86	75	791
87	75	783
88	75	776
89	76	768
90	76	761
91	76	754
92	76	747
93	76	740
94	77	733
95	77	727
96	77	720
97	77	714
98	77	707
99	77	701
100	78	695
101	78	690
102	78	684
103	78	678
104	78	673
105	79	667
106	79	662
107	79	657
108	79	652
109	79	646
110	80	641
111	80	637
112	80	632
113	80	627
114	80	622
115	81	618
116	81	613
117	81	609
118	81	605
119	82	601
120	82	597
121	82	592
122	82	588
123	82	585
124	83	581
125	83	577
126	83	573
127	83	569
128	83	565
129	83	561
130	84	558
131	84	554
132	84	551
133	84	547
134	85	544
135	85	541
136	85	538
137	85	535
138	85	532
139	86	528
140	86	525
141	86	522
142	86	519
143	86	515
144	86	512
145	87	509
146	87	506
147	87	504
148	87	501
149	87	498
150	88	495
151	88	493
152	88	490
153	88	487
154	88	484
155	89	482
156	89	479
157	89	477
158	89	475
159	90	472
160	90	469
161	90	467
162	90	464
